max_amp,min_amp,mean_amp,std_amp,max_angle,mean_angle,freefall_duration,impact_duration,final_angle,label
7.57,3.61,5.47,1.5,31.78,9.08,3,2,19.7,0
12.78,1.01,6.89,3.02,114.22,56.32,7,2,5.8,1
14.11,1.93,8.16,3.21,124.27,67.76,7,3,5.84,1
9.8,4.66,7.69,0.43,71.48,19.81,2,2,12.69,0
5.23,4.18,4.81,1.31,28.26,19.04,2,0,24.52,0
14.02,2.47,8.82,3.66,135.32,43.88,7,2,9.6,1
7.87,4.93,6.32,1.94,10.52,25.02,1,2,12.18,0
9.59,3.82,6.21,1.16,34.74,19.48,3,2,24.9,0
14.05,0.34,7.19,2.03,158.57,32.67,7,5,9.44,1
6.26,3.72,4.93,0.97,54.49,7,3,1,21.2,0
7.38,5.11,6.8,0.98,68.34,33.23,1,2,16.05,0
7.76,5.77,6.87,1.86,40.39,19.82,1,0,21.91,0
14.99,0.76,7.83,2.43,159.46,32.83,6,4,9.04,1
6.37,3.03,4.35,1.01,45.64,13.77,2,0,12.47,0
7.61,5.94,6.66,1.42,74,26.71,0,1,21.34,0
6.07,2.82,4.34,1.63,46.19,13.56,1,1,11.74,0
11.73,2.48,7.36,2.81,154.24,36.79,5,5,9.91,1
12.57,1.04,6.91,1.89,101.03,45.49,6,2,9.27,1
14.31,1.21,7.24,2.35,105.17,31.19,7,3,1.83,1
13.42,1.79,7.65,2.72,129.46,56,3,3,3.76,1
12.8,1.2,7.15,3.5,156.95,69.39,6,4,9.95,1
6.08,2.96,4.52,0.4,36.24,20.95,1,1,22.44,0
13.81,0.59,6.49,4.45,104.69,30.28,6,3,2.03,1
17.09,2,9.2,2.81,125.85,36.47,6,4,3.83,1
5.46,2.93,3.95,2.21,79.63,34.73,0,3,19.98,0
13.43,1.91,7.89,3.22,93.4,60.01,7,4,7.88,1
9.43,4.5,7.24,2.17,27.35,35.2,0,0,25.6,0
7.16,4.64,5.92,1.1,39.77,19.97,1,1,23.77,0
10.52,3.54,6.69,1.05,34.47,20.24,3,0,25.01,0
15.97,1.81,8.94,4.44,113.07,69.01,6,3,6.89,1
8.51,3.08,5.39,2.61,74.07,13.5,1,0,26.85,0
6.44,5.42,5.56,0.84,21.45,7.1,2,1,14.37,0
10.46,4.7,8.15,2.72,41.23,27.01,1,0,24.52,0
10.45,4.18,7.35,0.93,34.25,19.51,1,0,25.56,0
5.31,4.7,4.86,0.71,54.7,6.05,3,1,21.49,0
9.72,4.66,7.04,2.24,14.29,11.07,0,2,28.44,0
10.39,3.74,7.25,1.46,46.31,23.4,0,1,17.89,0
15.76,0.32,7.67,3.2,156.33,57.96,5,5,6.12,1
9.21,4.7,7.17,1.76,72.54,19.45,2,1,12.44,0
15.69,0.75,8.53,2.37,147.99,49.37,3,4,3.03,1
14.49,1.59,7.99,4.09,137.19,60.92,3,4,1.94,1
14.27,1.17,7.88,4.19,156.99,46.21,5,1,7.22,1
6.29,3,4.97,0.18,46.09,13.94,1,0,12.76,0
12.4,2.09,7.2,3.95,158.31,51.64,4,3,2.71,1
6.29,5.21,5.87,1.7,68.36,33.79,2,2,16.38,0
14.3,1.92,8.65,3.24,95,42.15,7,2,3.8,1
13.87,1.23,7.67,2.64,144.17,35.31,6,1,4.34,1
17.67,1.47,9.78,4.49,125.67,37.27,5,3,4.45,1
12.65,1.93,7.66,0.99,153.69,36.08,6,3,9.23,1
14.9,1.9,8.43,3.1,124.26,69.02,5,1,6.89,1
16.4,2.55,9.26,2.6,106.27,47.21,5,1,6.45,1
4.96,3.23,3.89,1.81,32.74,23.96,1,3,18.17,0
8.28,5.19,6.78,1.45,21.3,14.85,0,1,10.87,0
6.98,6.21,6.64,-0.13,19.62,9.58,2,0,17.63,0
8.32,4.97,6.76,1.66,10.39,24.15,2,1,13.17,0
6.75,5.93,6.61,1.94,74.16,26.82,0,0,21.23,0
6.81,4.97,6.42,1.1,68.26,34.35,0,3,16.88,0
12.15,0.49,6.19,4.8,157.51,45.59,5,3,8.24,1
6.61,4.28,5.3,2.15,62.16,32.64,3,0,27.8,0
16.14,2.11,9.23,2.56,123.96,44.51,4,4,8.54,1
15.71,1.33,8.71,3.18,150.04,36.49,8,3,9.21,1
14.53,1.79,8.16,3.39,147.23,55.36,2,3,6.81,1
5.02,4.4,4.46,1.18,61.45,32.65,1,1,18.59,0
6.51,6.2,6.49,0.34,18.55,10.88,2,0,17.6,0
15.7,0.86,8.62,3.59,155.96,56.46,5,3,6.84,1
13.19,2.18,7.56,3.23,114.74,55.94,6,2,6.23,1
11.87,0.71,5.92,3.88,127.17,43.34,2,3,5.72,1
5.75,2.97,4.66,1.41,30,31.89,0,1,11.44,0
15.35,0.91,8.14,2.72,120.8,39.32,6,3,3.82,1
6.12,4.75,5.45,0.71,27.6,17.8,3,1,24.61,0
8.65,6.08,7.53,1.95,29.94,22.99,3,0,13.68,0
17.15,2.28,9.33,2.85,148.41,35.31,4,4,7.44,1
16.68,0.79,8.56,2.55,92.32,40.59,3,3,7.72,1
5.56,3.92,4.68,0.47,39.01,36.14,2,1,20.37,0
6.03,5.89,5.66,0.09,19.8,10.57,1,0,18.02,0
7.45,5.09,6.1,1.68,40.23,20.18,1,0,23.17,0
14.04,1.96,7.98,3.91,129.99,47.91,4,2,6.33,1
5.54,3,4.17,0.69,30.44,32.1,2,1,11.36,0
7.55,6.42,7.39,1.66,73.81,26.6,0,1,21.33,0
5.42,3.55,5.12,1.09,27.38,17.62,0,1,13.75,0
8,4.57,6.44,2.61,10.47,25.4,2,1,12.07,0
13.16,0.74,6.99,3.99,92.44,57.17,7,2,3.65,1
5.68,2.91,4.16,1.67,78.92,35.18,0,3,20.47,0
9.82,5.36,7.67,1.15,13.36,28.93,3,1,29.24,0
14.02,1.92,8.13,3.52,130.5,48.71,3,2,5.97,1
4.43,4.98,4.58,0.73,60.96,33.3,1,0,18.75,0
14.61,0.37,8.07,2.77,98.47,61.86,5,3,9.6,1
14.3,0.69,7.07,2.84,144.25,35.73,4,1,3.52,1
16.2,2.01,9.15,2.69,146.01,69.61,7,3,3.64,1
15.72,1,8.09,3.83,104.62,42.17,3,5,5.17,1
12.34,0.42,6.25,4.37,157.55,45.42,4,2,6.96,1
15.48,0.95,8.06,3.31,121.83,39.51,4,4,3.34,1
14.62,1.07,7.68,3.36,159.69,44.89,2,1,3.01,1
16.99,2.16,9.28,2.79,125.48,55.1,7,4,5.09,1
15.51,1.53,7.97,3.43,114.5,70.1,8,3,8.33,1
13.52,2.28,7.69,3.09,146.48,32.91,8,3,5.63,1
7.46,4.82,5.98,0.16,31.94,26.08,1,0,18.49,0
13.08,2.38,6.92,3.45,133.13,54.81,4,4,2.79,1
8.43,5.23,7.04,1.22,20.27,13.78,1,0,10.5,0
5.92,4.1,5.91,2.24,53.34,6.46,1,2,20.65,0
8.1,5.14,6.25,1.16,76.97,17.88,0,0,29.35,0
9.55,5.17,7.54,0.41,41.26,31.63,0,2,11.77,0
6.17,4.2,4.93,0.98,39.73,35.79,2,2,18.98,0
14.36,1.43,8.23,3.28,137.42,62.26,4,3,2.68,1
7.32,5.51,6.44,1.36,19.14,18.61,3,3,21.56,0
15.13,2.01,8.52,2.4,148.92,67.75,5,4,8.76,1
13.35,1.77,7.38,2.98,115.71,56.69,7,1,6.22,1
