max_amp,min_amp,mean_amp,std_amp,max_angle,mean_angle,freefall_duration,impact_duration,final_angle,label
12.38,2.06,7.1,3.45,158.46,51.54,3,3,2.58,1
14.5,1.86,8.79,2.76,94.62,41.53,6,2,3.71,1
16.66,0.55,8.8,3.9,106.12,51.94,7,4,3.07,1
15.75,1.84,8.73,2.41,124.35,44.9,5,3,8.7,1
13.57,1.65,7.16,2.91,114.71,56.3,6,2,5.47,1
16.93,2.09,9.2,2.6,125.28,54.93,6,4,5.24,1
14.2,2.06,8.5,3.47,124.26,68.16,6,2,6.74,1
16.82,2.39,10.3,2.94,148.9,35.24,3,4,7.93,1
12.68,1.19,6.58,2.6,101.59,46.6,5,2,8.2,1
14.61,1.42,8.57,3.77,137.24,62.02,4,3,2.33,1
13.38,1.45,8.01,3.43,100.3,56.35,4,4,5.78,1
16.72,1.98,8.43,3.52,125.94,37.14,5,3,3.7,1
14.02,1.67,7.22,3.62,130.66,47.88,3,2,6.6,1
15.91,2.21,8.13,3.07,145.79,69.01,6,3,3.35,1
16.55,0.9,8.6,3.44,149.17,36.73,7,4,9.56,1
15.53,1.43,8.25,3.06,147.52,55.54,3,4,7.09,1
14.59,1.16,7.07,3.13,105.06,30.47,6,4,2.31,1
14.76,0.64,7.38,2.49,97.51,60.81,5,4,8.98,1
13.36,1.05,6.45,3.82,92.13,56.9,6,2,3.46,1
14.63,0.9,8.07,3.02,138.23,52.94,7,3,5.03,1
16.59,2.16,8.59,2.74,106.29,48.04,5,2,6.01,1
13.91,1.8,8.05,3.5,94.32,59.79,7,4,7.93,1
16.37,1.27,7.83,2.29,92.57,40.89,4,2,6.87,1
13.04,1.94,7.03,2.37,146.72,33.64,7,2,5.6,1
15.31,0.52,7.44,3.5,155.62,57.03,6,4,6.52,1
14.4,1.13,6.84,3.14,159,44.93,3,2,2.98,1
15.16,1.06,7.66,3.78,104.25,41.64,4,4,4.62,1
15.77,1.62,9.48,3.2,113.59,69.41,7,3,7.86,1
13.81,2.25,7.68,3.78,135.08,43.16,6,3,9.75,1
12.8,1.1,7.75,2.33,144.45,35.39,5,2,4.36,1
15.59,1.88,8.26,3.76,109.06,41.05,3,4,9.93,1
12.98,0.64,7.08,3.93,157.45,45.65,5,2,7.59,1
12.06,0.63,7.05,3.26,157.91,50.65,3,2,8,1
15.48,2.28,8.15,2.94,113.78,48.58,5,4,5.21,1
12.28,1.3,7.15,2.84,115.99,51.22,7,2,2.91,1
12.93,2.32,8.12,2.84,129.29,55.86,4,2,4.74,1
14.43,1.81,8.6,2.22,148.72,66.56,5,4,8.98,1
14.33,2.3,7.91,3.22,120.92,32.45,5,2,6.55,1
